frame_id,object_id,position_x,position_y,position_z,object_length,object_width,object_height,heading,type_backpack,type_bench,type_bus,type_car,type_handbag,type_person,type_potted plant,type_skateboard,type_traffic light,type_train,type_truck
209,-1,0.9455741627716423,0.613373682927094,0.0,0.027096524712602404,0.03697530570922934,0.027096524712602404,0,False,False,False,True,False,False,False,False,False,False,False
209,-1,0.5577098023377799,0.7414795584459446,0.0,0.19834521961540375,0.8859190284426582,0.19834521961540375,0,False,False,False,False,False,False,False,False,False,True,False
210,-1,0.9242280366103037,0.6089248275788338,0.0,0.02646941515072837,0.033951457688251696,0.02646941515072837,0,False,False,False,True,False,False,False,False,False,False,False
210,-1,0.987604566092961,0.5841730816779586,0.0,0.0051504521574844905,0.016850322482985867,0.0051504521574844905,0,False,False,False,True,False,False,False,False,False,False,False
210,-1,0.9607026914174491,0.597952005191816,0.0,0.002067384447108349,0.010665311791816338,0.002067384447108349,0,False,False,False,True,False,False,False,False,False,False,False
210,-1,0.9771550145735554,0.5863900389128827,0.0,0.002892150634456775,0.009642083596109137,0.002892150634456775,0,False,False,False,True,False,False,False,False,False,False,False
211,-1,0.9045315145580668,0.6068765352290884,0.0,0.02150126228448633,0.03123676267722371,0.02150126228448633,0,False,False,False,True,False,False,False,False,False,False,False
211,-1,0.21212177067255478,0.7694809918016671,0.0,0.18643538594969644,0.31047697584825085,0.18643538594969644,0,False,True,False,False,False,False,False,False,False,False,False
211,-1,0.9374469697195287,0.5925214134912562,0.0,0.0004803862535286002,0.006181715426066926,0.0004803862535286002,0,False,False,False,True,False,False,False,False,False,False,False
211,-1,0.9944053589300454,0.5568128068871325,0.0,0.01638008849801957,0.011739447833325978,0.01638008849801957,0,False,False,False,True,False,False,False,False,False,False,False
211,-1,0.9929443306373121,0.587669525627821,0.0,0.0023694488484761467,0.014938840150174094,0.0023694488484761467,0,False,False,False,True,False,False,False,False,False,False,False
211,-1,0.9909130390390923,0.582636816015406,0.0,0.012621298081438068,0.018945931277244,0.012621298081438068,0,False,False,False,True,False,False,False,False,False,False,False
212,-1,0.885674222443977,0.603139366815868,0.0,0.019829743510421445,0.03053185480469496,0.019829743510421445,0,False,False,False,True,False,False,False,False,False,False,False
212,-1,0.9806047746205891,0.5923792431451249,0.0,0.020833825909701086,0.039906115253395644,0.020833825909701086,0,False,False,False,True,False,False,False,False,False,False,False
212,-1,0.9118580807050668,0.5898378090072973,0.0,0.005820650642743105,0.015492389829818973,0.005820650642743105,0,False,False,False,True,False,False,False,False,False,False,False
212,-1,1.0,0.5989906282426656,0.0,0.023976223753045228,0.0008484846683044413,0.023976223753045228,0,False,False,False,True,False,False,False,False,False,False,False
212,-1,0.4884091066444363,0.7638733367718523,0.0,0.21954513564724532,0.9364156129697133,0.21954513564724532,0,False,False,False,False,False,False,False,False,False,True,False
212,-1,0.4976248569743018,0.9712411290691315,0.0,0.1830709144242933,0.9925422931637696,0.1830709144242933,0,False,False,False,False,False,False,False,False,False,True,False
213,-1,0.9915517262206307,0.5972859760963954,0.0,0.07925555598521718,0.017766663707429714,0.07925555598521718,0,False,False,False,True,False,False,False,False,False,False,False
213,-1,0.8670084978813156,0.6000066079746798,0.0,0.016423398390242018,0.02880800981924695,0.016423398390242018,0,False,False,False,True,False,False,False,False,False,False,False
